smiles,pKa
c1cc2c(cc1)cnnc2,3.39
c1cc2c(cc1)cccn2,4.85
c1c(cccn1)O,4.86
c1ccc(cn1)OC,4.88
c1cc2c(cc1)cc1c(c2)nccc1,5.05
c1ccccn1,5.17
c1cc2c(cc1)cc1c(cccc1)n2,5.6
c1c(cccn1)CC,5.7
c1c(cccn1)C(C)(C)C,5.82
c1cccc(n1)CC,5.97
c1cc(ccn1)C(C)(C)C,5.99
c12c(cccc1)nc[nH]2,6
c1cc(ccn1)CC,6.02
c1[nH]cc(n1)CO,6.45
c1cc(ccn1)OC,6.62
c1(ncc[nH]1)C,7.75
NCC#N,5.3
c1cc(ccc1)CN,9.34
c1cc(ccc1)CCN,9.68
C(N)(C)C,9.8
NCCCC,10.59
C(CN)C,10.6
CN,10.63
C(N)(C)(C)C,10.68
C(N)C,10.7
[C@@H]1(CC[C@@H](CC1)N)C(C)(C)C,11.23
N(C[C@@H](c1ccc(c(c1)O)O)O)C,8.55
C(NC)C,10.54
CNC,10.78
CCCNCCC,11
C(NCC)C,11.02
C1CCNCC1,11.22
C(CNC1CCCCC1)C,11.23
C1CCCN1,11.27
C1CCN(CC1)CC=C,9.69
CN(C)C,9.8
C(N(C)C)C,10.16
CCN(CC)CC,10.75
c1ccc(c(c1)N(=O)=O)N,0.28
c1(ccc(cc1)N)N(=O)=O,0.98
c1ccc(c(c1)C(=O)O)N,2.04
c1(ccccc1N)C(=O)OCC,2.1
c1(ccccc1N)C(=O)OC,2.16
c1(ccc(cc1)N)C(=O)OC,2.3
c1(ccc(cc1)N)C(=O)O,2.32
c1(ccc(cc1)N)C(=O)OCC,2.38
c1ccc(cc1N(=O)=O)N,2.45
Clc1ccccc1N,2.62
c1ccc(c(c1)F)N,2.96
c1ccc(cc1C(=O)O)N,3.05
c1ccc(cc1Cl)N,3.32
c1ccc(cc1F)N,3.38
c1(cc(ccc1)N)C(=O)OC,3.56
c1ccc(c(c1)c1ccccc1)N,3.78
c1(ccc(cc1)N)Cl,3.81
c1(cccc(c1)N)SC,4.05
c1ccc(cc1O)N,4.17
c1(cc(ccc1)N)OCC,4.17
c1ccc(cc1OC)N,4.2
c1(ccc(cc1)N)[Si](C)(C)C,4.36
c1ccc(c(c1)C)N,4.38
c1(ccc(cc1)N)SC,4.4
c1(c(cccc1)N)OCC,4.47
c1ccc(c(c1)OC)N,4.49
c1(ccc(cc1)N)F,4.52
c1(cccc(c1)N)[Si](C)(C)C,4.64
c1ccc(cc1C)N,4.67
c1ccc(c(c1)O)N,4.72
c1(ccc(cc1)N)C,5.07
c1(ccc(cc1)N)OCC,5.25
c1(ccc(cc1)N)OC,5.29
c1(ccc(cc1)N)O,5.5
